pauta,link,data,editoria,freq_edi
LINHAS OPCIONAIS,https://trello.com/c/WLVimFdJ,2022-11-10T21:05:24.638Z,Dia,1955
LINHAS OPCIONAIS,https://trello.com/c/WLVimFdJ,2022-11-10T21:05:24.638Z,Natal,1515
LINHAS OPCIONAIS,https://trello.com/c/WLVimFdJ,2022-11-10T21:05:24.638Z,Matteus Fernandes,44
IMÓVEIS ABANDONADOS,https://trello.com/c/EVgUUutK,2022-11-10T11:03:53.228Z,Natal,1515
IMÓVEIS ABANDONADOS,https://trello.com/c/EVgUUutK,2022-11-10T11:03:53.228Z,Ícaro Carvalho,99
IMÓVEIS ABANDONADOS,https://trello.com/c/EVgUUutK,2022-11-10T11:03:53.228Z,Domingo,487
BARRAGEM DE OITICICA - CONTINUAÇÃO,https://trello.com/c/Ge8paSZf,2022-11-01T11:28:58.878Z,Dia,1955
BARRAGEM DE OITICICA - CONTINUAÇÃO,https://trello.com/c/Ge8paSZf,2022-11-01T11:28:58.878Z,Ícaro Carvalho,99
BARRAGEM DE OITICICA - CONTINUAÇÃO,https://trello.com/c/Ge8paSZf,2022-11-01T11:28:58.878Z,Natal,1515
TECNOLOGIA POTIGUAR,https://trello.com/c/TRBP5zuE,2022-10-28T10:16:19.560Z,Dia,1955
TECNOLOGIA POTIGUAR,https://trello.com/c/TRBP5zuE,2022-10-28T10:16:19.560Z,Natal,1515
TECNOLOGIA POTIGUAR,https://trello.com/c/TRBP5zuE,2022-10-28T10:16:19.560Z,Ícaro Carvalho,99
CARTÃO DA ÁGUA,https://trello.com/c/FPGCCVsB,2022-11-01T11:29:03.198Z,Natal,1515
CARTÃO DA ÁGUA,https://trello.com/c/FPGCCVsB,2022-11-01T11:29:03.198Z,Ícaro Carvalho,99
CARTÃO DA ÁGUA,https://trello.com/c/FPGCCVsB,2022-11-01T11:29:03.198Z,Dia,1955
"MAIS EMPREGOS, MENOS CANDIDATOS",https://trello.com/c/sIUDJvGL,2022-10-13T12:57:42.072Z,Dia,1955
"MAIS EMPREGOS, MENOS CANDIDATOS",https://trello.com/c/sIUDJvGL,2022-10-13T12:57:42.072Z,Economia,704
"MAIS EMPREGOS, MENOS CANDIDATOS",https://trello.com/c/sIUDJvGL,2022-10-13T12:57:42.072Z,Líria Paz,103
CRIMES ELUCIDADOS,https://trello.com/c/5V1L9mSG,2022-10-14T11:15:01.579Z,Natal,1515
CRIMES ELUCIDADOS,https://trello.com/c/5V1L9mSG,2022-10-14T11:15:01.579Z,Ícaro Carvalho,99
CRIMES ELUCIDADOS,https://trello.com/c/5V1L9mSG,2022-10-14T11:15:01.579Z,Domingo,487
APROPRIAÇÃO INDÉBITA,https://trello.com/c/mM3vCWdC,2022-10-14T11:14:52.816Z,Dia,1955
APROPRIAÇÃO INDÉBITA,https://trello.com/c/mM3vCWdC,2022-10-14T11:14:52.816Z,Natal,1515
APROPRIAÇÃO INDÉBITA,https://trello.com/c/mM3vCWdC,2022-10-14T11:14:52.816Z,Ícaro Carvalho,99
ESCOLAS SEM ALUNOS,https://trello.com/c/LgrUjlBe,2022-09-23T10:52:04.256Z,Pauta sem editoria,0
IPHONE,https://trello.com/c/omgWoa2v,2022-09-08T19:26:40.346Z,Pauta sem editoria,0
TN NO ENEM 2022,https://trello.com/c/iohN36Rm,2022-11-23T13:44:59.781Z,Atenção,15
TN NO ENEM 2022,https://trello.com/c/iohN36Rm,2022-11-23T13:44:59.781Z,Muito Importante,2
OBRA DA FELIZARDO MOURA,https://trello.com/c/4WY7zoJP,2022-09-02T19:59:36.812Z,Dia,1955
OBRA DA FELIZARDO MOURA,https://trello.com/c/4WY7zoJP,2022-09-02T19:59:36.812Z,Natal,61
OBRA DA FELIZARDO MOURA,https://trello.com/c/4WY7zoJP,2022-09-02T19:59:36.812Z,Líria Paz,103
SETEMBRO AMARELO,https://trello.com/c/H710fcTL,2022-09-01T22:40:24.769Z,Natal,61
SETEMBRO AMARELO,https://trello.com/c/H710fcTL,2022-09-01T22:40:24.769Z,Dia,1955
SETEMBRO AMARELO,https://trello.com/c/H710fcTL,2022-09-01T22:40:24.769Z,Líria Paz,103
ORGANOGRAMA DO SINDICATO DO CRIME,https://trello.com/c/8e9M0dQp,2022-08-30T21:52:44.710Z,Domingo,487
ORGANOGRAMA DO SINDICATO DO CRIME,https://trello.com/c/8e9M0dQp,2022-08-30T21:52:44.710Z,Atenção,15
ORGANOGRAMA DO SINDICATO DO CRIME,https://trello.com/c/8e9M0dQp,2022-08-30T21:52:44.710Z,Ícaro Carvalho,99
CONSELHO TUTELAR,https://trello.com/c/Zlft8h0E,2022-08-31T13:56:00.610Z,Pauta sem editoria,0
OBRAS ESTRUTURANTES NO RN,https://trello.com/c/F1m0kpua,2022-10-26T15:20:56.836Z,Natal,1515
OBRAS ESTRUTURANTES NO RN,https://trello.com/c/F1m0kpua,2022-10-26T15:20:56.836Z,Domingo,487
OBRAS ESTRUTURANTES NO RN,https://trello.com/c/F1m0kpua,2022-10-26T15:20:56.836Z,Ícaro Carvalho,99
